	sample	unit	fq1	fq2
0	1FgAgo1	A	test/1FgAgo1_A_R1.fastq.gz	
1	1FgAgo2	A	test/1FgAgo2_A_R1.fastq.gz	
2	1FgAgo3	A	test/1FgAgo3_A_R1.fastq.gz	
3	1FgAgo4	A	test/1FgAgo4_A_R1.fastq.gz	
4	2FgAgo1	A	test/2FgAgo1_A_R1.fastq.gz	
5	2FgAgo2	A	test/2FgAgo2_A_R1.fastq.gz	
6	2FgAgo3	A	test/2FgAgo3_A_R1.fastq.gz	
7	2FgAgo4	A	test/2FgAgo4_A_R1.fastq.gz	
8	3BbAgo1	A	test/3BbAgo1_A_R1.fastq.gz	
9	3BbAgo2	A	test/3BbAgo2_A_R1.fastq.gz	
10	3BbAgo3	A	test/3BbAgo3_A_R1.fastq.gz	
11	3BbAgo4	A	test/3BbAgo4_A_R1.fastq.gz	
12	4BbAgo1	A	test/4BbAgo1_A_R1.fastq.gz	
13	4BbAgo2	A	test/4BbAgo2_A_R1.fastq.gz	
14	4BbAgo3	A	test/4BbAgo3_A_R1.fastq.gz	
15	4BbAgo4	A	test/4BbAgo4_A_R1.fastq.gz	
16	5BcAgo1	A	test/5BcAgo1_A_R1.fastq.gz	
17	5BcAgo2	A	test/5BcAgo2_A_R1.fastq.gz	
18	5BcAgo3	A	test/5BcAgo3_A_R1.fastq.gz	
19	5BcAgo4	A	test/5BcAgo4_A_R1.fastq.gz	
20	6BcAgo1	A	test/6BcAgo1_A_R1.fastq.gz	
21	6BcAgo2	A	test/6BcAgo2_A_R1.fastq.gz	
22	6BcAgo3	A	test/6BcAgo3_A_R1.fastq.gz	
23	6BcAgo4	A	test/6BcAgo4_A_R1.fastq.gz	
24	7FoAgo1	A	test/7FoAgo1_A_R1.fastq.gz	
25	7FoAgo2	A	test/7FoAgo2_A_R1.fastq.gz	
26	7FoAgo3	A	test/7FoAgo3_A_R1.fastq.gz	
27	7FoAgo4	A	test/7FoAgo4_A_R1.fastq.gz	
28	8FoAgo1	A	test/8FoAgo1_A_R1.fastq.gz	
29	8FoAgo2	A	test/8FoAgo2_A_R1.fastq.gz	
30	8FoAgo3	A	test/8FoAgo3_A_R1.fastq.gz	
31	8FoAgo4	A	test/8FoAgo4_A_R1.fastq.gz	
32	9L1	A	test/9L1_A_R1.fastq.gz	
33	9L2	A	test/9L2_A_R1.fastq.gz	
34	9L3	A	test/9L3_A_R1.fastq.gz	
35	9L4	A	test/9L4_A_R1.fastq.gz	
