Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1FgAgo1_A_R1	99.74034870280673	41.0	151.0	27.27272727272727	1316766.0
1FgAgo2_A_R1	99.71809095093718	41.0	151.0	27.27272727272727	1240471.0
1FgAgo3_A_R1	99.55547115598966	41.0	151.0	27.27272727272727	1211170.0
1FgAgo4_A_R1	99.58599030384391	41.0	151.0	27.27272727272727	1224609.0
2FgAgo1_A_R1	99.71700690125311	41.0	151.0	27.27272727272727	1270349.0
2FgAgo2_A_R1	99.68323633241103	41.0	151.0	27.27272727272727	1205315.0
2FgAgo3_A_R1	99.5041768447202	41.0	151.0	27.27272727272727	1181873.0
2FgAgo4_A_R1	99.54865530958509	41.0	151.0	27.27272727272727	1193323.0
3BbAgo1_A_R1	99.70950884892882	41.0	151.0	27.27272727272727	1203479.0
3BbAgo2_A_R1	99.67198339165432	41.0	151.0	27.27272727272727	1122809.0
3BbAgo3_A_R1	99.52385839446023	41.0	151.0	27.27272727272727	1110804.0
3BbAgo4_A_R1	99.53564648846114	41.0	151.0	27.27272727272727	1114668.0
4BbAgo1_A_R1	99.73875852294698	41.0	151.0	27.27272727272727	1111998.0
4BbAgo2_A_R1	99.69788950166019	41.0	151.0	27.27272727272727	1052595.0
4BbAgo3_A_R1	99.55582544144538	41.0	151.0	27.27272727272727	1025948.0
4BbAgo4_A_R1	99.57117698826943	41.0	151.0	27.27272727272727	1035159.0
5BcAgo1_A_R1	99.7245699287161	41.0	151.0	27.27272727272727	1366227.0
5BcAgo2_A_R1	99.69269368323451	41.0	151.0	27.27272727272727	1283410.0
5BcAgo3_A_R1	99.50212750424151	41.0	151.0	27.27272727272727	1260162.0
5BcAgo4_A_R1	99.52763238534445	41.0	151.0	27.27272727272727	1249874.0
6BcAgo1_A_R1	99.76553778864874	41.0	151.0	27.27272727272727	1312365.0
6BcAgo2_A_R1	99.73878248033633	41.0	151.0	27.27272727272727	1243791.0
6BcAgo3_A_R1	99.5773430113506	41.0	151.0	27.27272727272727	1212094.0
6BcAgo4_A_R1	99.61148313967283	41.0	151.0	27.27272727272727	1226459.0
7FoAgo1_A_R1	99.73373451405955	41.0	151.0	27.27272727272727	1262274.0
7FoAgo2_A_R1	99.70562942107397	41.0	151.0	27.27272727272727	1201207.0
7FoAgo3_A_R1	99.54605474709741	41.0	151.0	27.27272727272727	1169304.0
7FoAgo4_A_R1	99.57697823634165	41.0	151.0	27.27272727272727	1177008.0
8FoAgo1_A_R1	99.75975303028427	41.0	151.0	27.27272727272727	1535087.0
8FoAgo2_A_R1	99.7358536776045	41.0	151.0	27.27272727272727	1445411.0
8FoAgo3_A_R1	99.57647008695714	41.0	151.0	27.27272727272727	1408165.0
8FoAgo4_A_R1	99.61927393618312	41.0	151.0	27.27272727272727	1441719.0
9L1_A_R1	99.7072064082695	41.0	151.0	27.27272727272727	4905162.0
9L2_A_R1	99.67498661703284	41.0	151.0	27.27272727272727	4657039.0
9L3_A_R1	99.46102570677253	41.0	151.0	27.27272727272727	4336756.0
9L4_A_R1	99.49140507303892	41.0	151.0	27.27272727272727	4399572.0
