Module	Section	Sample Name	Source
FastQC	all_sections	1FgAgo1_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/1FgAgo1_A_R1_fastqc.zip
FastQC	all_sections	1FgAgo2_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/1FgAgo2_A_R1_fastqc.zip
FastQC	all_sections	1FgAgo3_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/1FgAgo3_A_R1_fastqc.zip
FastQC	all_sections	1FgAgo4_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/1FgAgo4_A_R1_fastqc.zip
FastQC	all_sections	2FgAgo1_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/2FgAgo1_A_R1_fastqc.zip
FastQC	all_sections	2FgAgo2_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/2FgAgo2_A_R1_fastqc.zip
FastQC	all_sections	2FgAgo3_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/2FgAgo3_A_R1_fastqc.zip
FastQC	all_sections	2FgAgo4_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/2FgAgo4_A_R1_fastqc.zip
FastQC	all_sections	3BbAgo1_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/3BbAgo1_A_R1_fastqc.zip
FastQC	all_sections	3BbAgo2_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/3BbAgo2_A_R1_fastqc.zip
FastQC	all_sections	3BbAgo3_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/3BbAgo3_A_R1_fastqc.zip
FastQC	all_sections	3BbAgo4_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/3BbAgo4_A_R1_fastqc.zip
FastQC	all_sections	4BbAgo1_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/4BbAgo1_A_R1_fastqc.zip
FastQC	all_sections	4BbAgo2_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/4BbAgo2_A_R1_fastqc.zip
FastQC	all_sections	4BbAgo3_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/4BbAgo3_A_R1_fastqc.zip
FastQC	all_sections	4BbAgo4_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/4BbAgo4_A_R1_fastqc.zip
FastQC	all_sections	5BcAgo1_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/5BcAgo1_A_R1_fastqc.zip
FastQC	all_sections	5BcAgo2_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/5BcAgo2_A_R1_fastqc.zip
FastQC	all_sections	5BcAgo3_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/5BcAgo3_A_R1_fastqc.zip
FastQC	all_sections	5BcAgo4_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/5BcAgo4_A_R1_fastqc.zip
FastQC	all_sections	6BcAgo1_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/6BcAgo1_A_R1_fastqc.zip
FastQC	all_sections	6BcAgo2_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/6BcAgo2_A_R1_fastqc.zip
FastQC	all_sections	6BcAgo3_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/6BcAgo3_A_R1_fastqc.zip
FastQC	all_sections	6BcAgo4_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/6BcAgo4_A_R1_fastqc.zip
FastQC	all_sections	7FoAgo1_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/7FoAgo1_A_R1_fastqc.zip
FastQC	all_sections	7FoAgo2_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/7FoAgo2_A_R1_fastqc.zip
FastQC	all_sections	7FoAgo3_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/7FoAgo3_A_R1_fastqc.zip
FastQC	all_sections	7FoAgo4_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/7FoAgo4_A_R1_fastqc.zip
FastQC	all_sections	8FoAgo1_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/8FoAgo1_A_R1_fastqc.zip
FastQC	all_sections	8FoAgo2_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/8FoAgo2_A_R1_fastqc.zip
FastQC	all_sections	8FoAgo3_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/8FoAgo3_A_R1_fastqc.zip
FastQC	all_sections	8FoAgo4_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/8FoAgo4_A_R1_fastqc.zip
FastQC	all_sections	9L1_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/9L1_A_R1_fastqc.zip
FastQC	all_sections	9L2_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/9L2_A_R1_fastqc.zip
FastQC	all_sections	9L3_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/9L3_A_R1_fastqc.zip
FastQC	all_sections	9L4_A_R1	/home/nilmat/scratch/streptsd/mathias_modulome/yeast/test/Natrix/results/qc/9L4_A_R1_fastqc.zip
