Sample_ID,Sample_Name,biological_replicate,technical_replicate
1FgAgo1_A,1FgAgo1,FgAgo1,1FgAgo
1FgAgo2_A,1FgAgo2,FgAgo2,1FgAgo
1FgAgo3_A,1FgAgo3,FgAgo3,1FgAgo
1FgAgo4_A,1FgAgo4,FgAgo4,1FgAgo
2FgAgo1_A,2FgAgo1,FgAgo1,2FgAgo
2FgAgo2_A,2FgAgo2,FgAgo2,2FgAgo
2FgAgo3_A,2FgAgo3,FgAgo3,2FgAgo
2FgAgo4_A,2FgAgo4,FgAgo4,2FgAgo
3BbAgo1_A,3BbAgo1,BbAgo1,3BbAgo
3BbAgo2_A,3BbAgo2,BbAgo2,3BbAgo
3BbAgo3_A,3BbAgo3,BbAgo3,3BbAgo
3BbAgo4_A,3BbAgo4,BbAgo4,3BbAgo
4BbAgo1_A,4BbAgo1,BbAgo1,4BbAgo
4BbAgo2_A,4BbAgo2,BbAgo2,4BbAgo
4BbAgo3_A,4BbAgo3,BbAgo3,4BbAgo
4BbAgo4_A,4BbAgo4,BbAgo4,4BbAgo
5BcAgo1_A,5BcAgo1,BcAgo1,5BcAgo
5BcAgo2_A,5BcAgo2,BcAgo2,5BcAgo
5BcAgo3_A,5BcAgo3,BcAgo3,5BcAgo
5BcAgo4_A,5BcAgo4,BcAgo4,5BcAgo
6BcAgo1_A,6BcAgo1,BcAgo1,6BcAgo
6BcAgo2_A,6BcAgo2,BcAgo2,6BcAgo
6BcAgo3_A,6BcAgo3,BcAgo3,6BcAgo
6BcAgo4_A,6BcAgo4,BcAgo4,6BcAgo
7FoAgo1_A,7FoAgo1,FoAgo1,7FoAgo
7FoAgo2_A,7FoAgo2,FoAgo2,7FoAgo
7FoAgo3_A,7FoAgo3,FoAgo3,7FoAgo
7FoAgo4_A,7FoAgo4,FoAgo4,7FoAgo
8FoAgo1_A,8FoAgo1,FoAgo1,8FoAgo
8FoAgo2_A,8FoAgo2,FoAgo2,8FoAgo
8FoAgo3_A,8FoAgo3,FoAgo3,8FoAgo
8FoAgo4_A,8FoAgo4,FoAgo4,8FoAgo
